15	Miami FL 3	ACC	27-8	+22.44	119.4	11	96.9	42	65.9	284	+.077	33	+11.67	6	111.6	5	99.9	11	+2.63	90
16	SMU	Amer	25-5	+21.98	119.3	12	97.3	45	65.8	288	+.014	140	+3.37	93	105.5	121	102.2	77	-1.06	195
17	Duke 4	ACC	25-11	+21.87	121.9	4	100.0	86	67.7	194	-.026	248	+11.23	10	112.0	3	100.7	35	+3.52	69
18	Texas A&M 3	SEC	28-9	+21.26	113.8	37	92.5	9	67.1	230	+.006	162	+8.48	42	109.6	36	101.1	50	+3.15	76
19	Arizona 6	P12	25-9	+20.97	116.8	20	95.8	29	68.3	154	-.038	272	+6.66	63	107.9	67	101.3	54	-3.66	269
20	Iowa St. 4	B12	23-12	+20.95	121.2	7	100.3	91	71.2	49	-.062	318	+12.05	5	110.2	28	98.1	1	+2.54	92
21	Gonzaga 11	WCC	28-8	+20.82	116.3	22	95.5	27	67.3	218	-.038	273	+3.51	90	107.3	77	103.8	118	+6.12	25
22	Maryland 5	B10	27-9	+20.25	116.2	24	95.9	32	67.4	213	+.016	129	+8.60	39	109.2	45	100.6	30	-1.86	218
23	Iowa 7	B10	22-11	+20.24	116.1	25	95.9	30	68.8	131	-.071	327	+9.12	30	110.2	26	101.1	49	+1.28	132
24	Baylor 5	B12	22-12	+19.06	118.9	14	99.8	84	66.6	252	-.012	211	+11.21	11	109.7	34	98.4	2	-3.12	257
25	Vanderbilt 11	SEC	19-14	+18.76	113.6	40	94.9	23	67.8	184	-.106	346	+8.60	40	109.2	44	100.6	31	+3.68	65
26	Connecticut 9	Amer	25-11	+18.71	111.9	59	93.2	12	65.9	277	-.036	270	+6.17	71	107.6	72	101.4	56	-0.91	187
27	Syracuse 10	ACC	23-14	+18.57	112.7	50	94.1	18	65.0	314	-.027	249	+10.21	18	110.9	12	100.7	33	-0.82	180
28	California 4	P12	23-11	+18.32	112.5	53	94.2	19	68.1	162	-.053	300	+7.65	52	109.4	40	101.8	70	-2.58	234
29	Seton Hall 6	BE	25-9	+18.27	111.1	72	92.9	10	69.7	92	+.016	132	+8.55	41	108.5	61	100.0	14	-2.92	247
30	Butler 9	BE	22-11	+17.27	118.0	15	100.7	97	67.9	178	-.009	201	+8.10	47	108.5	62	100.4	25	-4.10	282
31	VCU 10	A10	25-11	+17.07	112.1	58	95.0	24	69.6	96	-.070	326	+3.82	87	107.3	76	103.5	111	+0.95	142
32	Cincinnati 9	Amer	22-11	+17.06	111.2	70	94.1	16	64.0	333	-.067	322	+5.20	77	107.3	79	102.1	75	-1.21	197
33	Utah 3	P12	27-9	+16.79	115.6	26	98.8	60	65.3	305	+.112	9	+9.79	21	109.8	33	100.0	12	+1.90	114
34	Saint Mary's	WCC	29-6	+16.74	117.3	17	100.6	96	61.8	347	+.025	107	-1.09	174	104.0	197	105.1	158	-6.66	320
35	Florida	SEC	21-15	+16.64	110.5	85	93.9	14	69.2	110	-.056	306	+10.21	19	110.7	16	100.5	27	+6.76	20
36	Notre Dame 6	ACC	24-12	+16.60	120.6	9	104.0	158	64.6	324	+.054	54	+10.75	12	111.3	9	100.5	29	-1.64	210
37	Pittsburgh 10	ACC	21-12	+16.60	114.9	28	98.3	53	65.3	303	-.011	206	+9.06	34	110.8	14	101.7	68	-7.02	324
38	Wisconsin 7	B10	22-13	+16.55	110.1	89	93.6	13	63.3	344	-.022	235	+9.57	25	110.3	24	100.7	36	+1.24	134
39	Texas 6	B12	20-13	+16.19	113.0	49	96.8	40	65.3	306	+.022	118	+12.54	4	111.5	7	99.0	5	+5.55	31
40	Creighton	BE	20-15	+15.82	113.4	43	97.6	49	70.2	76	-.095	338	+6.22	69	107.8	70	101.6	62	-4.84	298
41	Stephen F. Austin 14	Slnd	28-6	+15.62	112.2	57	96.6	38	67.3	217	+.007	159	-5.88	286	102.7	251	108.6	321	+4.79	42
42	Valparaiso	Horz	30-7	+15.46	107.5	125	92.0	8	66.8	245	-.007	196	+0.55	138	106.2	100	105.7	180	+3.83	59
43	Saint Joseph's 8	A10	28-8	+15.37	114.3	32	98.9	63	70.2	78	+.030	95	+4.66	80	107.0	85	102.3	82	+1.97	109
44	Providence 9	BE	24-11	+14.49	110.0	92	95.5	28	68.4	150	+.062	42	+8.93	36	109.5	39	100.6	32	-3.13	259
45	Clemson	ACC	17-14	+14.38	113.3	45	98.9	62	63.7	337	-.095	339	+6.74	61	108.7	56	102.0	72	-7.97	335
46	San Diego St.	MWC	28-10	+14.35	104.8	171	90.5	4	64.8	321	+.015	135	+3.56	89	106.7	91	103.1	103	+5.73	28
47	Yale 12	Ivy	23-7	+14.33	110.4	88	96.0	34	66.0	275	+.026	105	-0.85	169	105.5	122	106.4	209	-1.00	193
48	Florida St.	ACC	20-14	+14.26	113.1	47	98.9	61	71.6	42	-.020	231	+9.52	26	110.2	27	100.7	34	-1.82	216
49	USC 8	P12	21-13	+14.25	113.9	35	99.7	80	71.0	54	-.028	251	+7.61	53	108.7	57	101.1	46	-1.65	211
50	Michigan 11	B10	23-13	+14.15	114.6	30	100.5	92	65.8	289	+.013	146	+8.96	35	110.1	29	101.1	48	-2.15	226
51	Georgia Tech	ACC	21-15	+14.13	113.8	38	99.6	78	67.1	232	+.015	134	+10.67	14	111.1	10	100.4	26	-0.84	182
52	BYU	WCC	26-11	+13.89	113.1	48	99.2	68	73.7	10	-.050	291	+1.32	126	106.2	105	104.9	148	+1.46	125
53	George Washington	A10	28-10	+13.86	114.8	29	101.0	103	66.2	265	+.031	94	+3.43	91	106.0	108	102.6	90	-1.77	215
54	Texas Tech 8	B12	19-13	+13.78	113.2	46	99.4	72	66.0	273	+.028	101	+10.66	15	110.4	22	99.7	8	+0.62	151
55	Kansas St.	B12	17-16	+13.46	108.8	101	95.4	25	66.7	250	-.052	298	+10.42	16	110.7	15	100.3	21	-2.92	246
56	Arkansas Little Rock 12	SB	30-5	+13.24	109.2	98	96.0	33	63.4	342	+.056	52	-0.77	167	104.2	188	104.9	155	-0.20	171
57	Colorado 8	P12	22-12	+12.91	108.8	100	95.9	31	69.0	120	+.015	136	+7.51	54	109.5	37	102.0	74	-2.15	227
58	South Carolina	SEC	25-9	+12.87	109.0	99	96.2	36	70.1	84	+.060	45	+4.58	81	107.2	80	102.6	93	-3.49	265
59	Dayton 7	A10	25-8	+12.63	106.6	146	94.0	15	67.8	183	+.082	28	+3.89	86	107.3	75	103.4	109	+2.58	91
60	Hawaii 13	BW	28-6	+12.16	108.2	112	96.1	35	70.6	58	+.013	142	-2.32	204	102.5	258	104.9	149	-8.92	341
61	Houston	Amer	22-10	+11.81	116.7	21	104.9	179	66.3	259	-.006	192	+0.81	134	103.9	202	103.1	102	-11.35	350
62	Georgetown	BE	15-18	+11.71	111.4	65	99.7	81	67.9	180	-.102	344	+9.34	28	109.6	35	100.3	23	+2.43	93
63	Virginia Tech	ACC	20-15	+11.68	110.6	81	98.9	64	69.5	102	+.015	139	+9.21	29	110.5	21	101.2	52	-8.44	339
64	Oregon St. 7	P12	19-13	+11.65	110.7	77	99.1	66	67.1	229	+.043	78	+9.61	24	109.8	32	100.2	17	+0.46	155
